day,region_id,susceptible,infected,recovered,dead
44,14,1049999,0,1,0
44,15,659999,0,1,0
44,16,579999,0,1,0
44,17,319999,0,1,0
44,18,84999,0,1,0
44,19,86999,0,1,0
45,1,8469999,0,1,0
45,2,7799999,0,1,0
45,3,6759999,0,1,0
45,4,5099999,0,1,0
45,5,2699999,0,1,0
45,6,2399999,0,1,0
45,7,2199999,0,1,0
45,8,2199999,0,1,0
45,9,1999999,0,1,0
45,10,1499999,0,1,0
45,11,1299999,0,1,0
45,12,999999,0,1,0
45,13,1199999,0,1,0
45,14,1049999,0,1,0
45,15,659999,0,1,0
45,16,579999,0,1,0
45,17,319999,0,1,0
45,18,84999,0,1,0
45,19,86999,0,1,0
46,1,8469999,0,1,0
46,2,7799999,0,1,0
46,3,6759999,0,1,0
46,4,5099999,0,1,0
46,5,2699999,0,1,0
46,6,2399999,0,1,0
46,7,2199999,0,1,0
46,8,2199999,0,1,0
46,9,1999999,0,1,0
46,10,1499999,0,1,0
46,11,1299999,0,1,0
46,12,999999,0,1,0
46,13,1199999,0,1,0
46,14,1049999,0,1,0
46,15,659999,0,1,0
46,16,579999,0,1,0
46,17,319999,0,1,0
46,18,84999,0,1,0
46,19,86999,0,1,0
47,1,8469999,0,1,0
47,2,7799999,0,1,0
47,3,6759999,0,1,0
47,4,5099999,0,1,0
47,5,2699999,0,1,0
47,6,2399999,0,1,0
47,7,2199999,0,1,0
47,8,2199999,0,1,0
47,9,1999999,0,1,0
47,10,1499999,0,1,0
47,11,1299999,0,1,0
47,12,999999,0,1,0
47,13,1199999,0,1,0
47,14,1049999,0,1,0
47,15,659999,0,1,0
47,16,579999,0,1,0
47,17,319999,0,1,0
47,18,84999,0,1,0
47,19,86999,0,1,0
48,1,8469999,0,1,0
48,2,7799999,0,1,0
48,3,6759999,0,1,0
48,4,5099999,0,1,0
48,5,2699999,0,1,0
48,6,2399999,0,1,0
48,7,2199999,0,1,0
48,8,2199999,0,1,0
48,9,1999999,0,1,0
48,10,1499999,0,1,0
48,11,1299999,0,1,0
48,12,999999,0,1,0
48,13,1199999,0,1,0
48,14,1049999,0,1,0
48,15,659999,0,1,0
48,16,579999,0,1,0
48,17,319999,0,1,0
48,18,84999,0,1,0
48,19,86999,0,1,0
49,1,8469999,0,1,0
49,2,7799999,0,1,0
49,3,6759999,0,1,0
49,4,5099999,0,1,0
49,5,2699999,0,1,0
49,6,2399999,0,1,0
49,7,2199999,0,1,0
49,8,2199999,0,1,0
49,9,1999999,0,1,0
49,10,1499999,0,1,0
49,11,1299999,0,1,0
49,12,999999,0,1,0
49,13,1199999,0,1,0
49,14,1049999,0,1,0
49,15,659999,0,1,0
49,16,579999,0,1,0
49,17,319999,0,1,0
49,18,84999,0,1,0
49,19,86999,0,1,0
50,1,8469999,0,1,0
50,2,7799999,0,1,0
50,3,6759999,0,1,0
50,4,5099999,0,1,0
50,5,2699999,0,1,0
50,6,2399999,0,1,0
50,7,2199999,0,1,0
50,8,2199999,0,1,0
50,9,1999999,0,1,0
50,10,1499999,0,1,0
50,11,1299999,0,1,0
50,12,999999,0,1,0
50,13,1199999,0,1,0
50,14,1049999,0,1,0
50,15,659999,0,1,0
50,16,579999,0,1,0
50,17,319999,0,1,0
50,18,84999,0,1,0
50,19,86999,0,1,0
51,1,8469999,0,1,0
51,2,7799999,0,1,0
51,3,6759999,0,1,0
51,4,5099999,0,1,0
51,5,2699999,0,1,0
51,6,2399999,0,1,0
51,7,2199999,0,1,0
51,8,2199999,0,1,0
51,9,1999999,0,1,0
51,10,1499999,0,1,0
51,11,1299999,0,1,0
51,12,999999,0,1,0
51,13,1199999,0,1,0
51,14,1049999,0,1,0
51,15,659999,0,1,0
51,16,579999,0,1,0
51,17,319999,0,1,0
51,18,84999,0,1,0
51,19,86999,0,1,0
52,1,8469999,0,1,0
52,2,7799999,0,1,0
52,3,6759999,0,1,0
52,4,5099999,0,1,0
52,5,2699999,0,1,0
52,6,2399999,0,1,0
52,7,2199999,0,1,0
52,8,2199999,0,1,0
52,9,1999999,0,1,0
52,10,1499999,0,1,0
52,11,1299999,0,1,0
52,12,999999,0,1,0
52,13,1199999,0,1,0
52,14,1049999,0,1,0
52,15,659999,0,1,0
52,16,579999,0,1,0
52,17,319999,0,1,0
52,18,84999,0,1,0
52,19,86999,0,1,0
53,1,8469999,0,1,0
53,2,7799999,0,1,0
53,3,6759999,0,1,0
53,4,5099999,0,1,0
53,5,2699999,0,1,0
